bufferType,rngType,function,bufferSize,prodConsCount,threadID,executions
TWOCOND,RANDOMRANDOM,put,100,10,0,2574717
TWOCOND,RANDOMRANDOM,put,100,10,1,2577894
TWOCOND,RANDOMRANDOM,put,100,10,2,2576482
TWOCOND,RANDOMRANDOM,put,100,10,3,2573708
TWOCOND,RANDOMRANDOM,put,100,10,4,2571268
TWOCOND,RANDOMRANDOM,put,100,10,5,2575511
TWOCOND,RANDOMRANDOM,put,100,10,6,2569812
TWOCOND,RANDOMRANDOM,put,100,10,7,2570112
TWOCOND,RANDOMRANDOM,put,100,10,8,2579963
TWOCOND,RANDOMRANDOM,put,100,10,9,2579558
TWOCOND,RANDOMRANDOM,take,100,10,0,2581253
TWOCOND,RANDOMRANDOM,take,100,10,1,2583907
TWOCOND,RANDOMRANDOM,take,100,10,2,2576037
TWOCOND,RANDOMRANDOM,take,100,10,3,2576081
TWOCOND,RANDOMRANDOM,take,100,10,4,2564882
TWOCOND,RANDOMRANDOM,take,100,10,5,2577199
TWOCOND,RANDOMRANDOM,take,100,10,6,2571078
TWOCOND,RANDOMRANDOM,take,100,10,7,2573194
TWOCOND,RANDOMRANDOM,take,100,10,8,2571287
TWOCOND,RANDOMRANDOM,take,100,10,9,2569602
TWOCOND,SECURERANDOM,put,100,10,0,2125694
TWOCOND,SECURERANDOM,put,100,10,1,2101324
TWOCOND,SECURERANDOM,put,100,10,2,2055341
TWOCOND,SECURERANDOM,put,100,10,3,2063816
TWOCOND,SECURERANDOM,put,100,10,4,2119317
TWOCOND,SECURERANDOM,put,100,10,5,2073576
TWOCOND,SECURERANDOM,put,100,10,6,2101616
TWOCOND,SECURERANDOM,put,100,10,7,2084603
TWOCOND,SECURERANDOM,put,100,10,8,2118341
TWOCOND,SECURERANDOM,put,100,10,9,2080361
TWOCOND,SECURERANDOM,take,100,10,0,2054669
TWOCOND,SECURERANDOM,take,100,10,1,2076799
TWOCOND,SECURERANDOM,take,100,10,2,2088359
TWOCOND,SECURERANDOM,take,100,10,3,2110471
TWOCOND,SECURERANDOM,take,100,10,4,2089015
TWOCOND,SECURERANDOM,take,100,10,5,2102587
TWOCOND,SECURERANDOM,take,100,10,6,2091992
TWOCOND,SECURERANDOM,take,100,10,7,2097860
TWOCOND,SECURERANDOM,take,100,10,8,2097468
TWOCOND,SECURERANDOM,take,100,10,9,2107476
THREELOCKS,RANDOMRANDOM,put,100,10,0,4747965
THREELOCKS,RANDOMRANDOM,put,100,10,1,4610029
THREELOCKS,RANDOMRANDOM,put,100,10,2,4542339
THREELOCKS,RANDOMRANDOM,put,100,10,3,4599185
THREELOCKS,RANDOMRANDOM,put,100,10,4,4532120
THREELOCKS,RANDOMRANDOM,put,100,10,5,4645166
THREELOCKS,RANDOMRANDOM,put,100,10,6,4458793
THREELOCKS,RANDOMRANDOM,put,100,10,7,4470203
THREELOCKS,RANDOMRANDOM,put,100,10,8,4614452
THREELOCKS,RANDOMRANDOM,put,100,10,9,4687429
THREELOCKS,RANDOMRANDOM,take,100,10,0,4610628
THREELOCKS,RANDOMRANDOM,take,100,10,1,5029081
THREELOCKS,RANDOMRANDOM,take,100,10,2,4623878
THREELOCKS,RANDOMRANDOM,take,100,10,3,4523721
THREELOCKS,RANDOMRANDOM,take,100,10,4,4646427
THREELOCKS,RANDOMRANDOM,take,100,10,5,4477176
THREELOCKS,RANDOMRANDOM,take,100,10,6,4486818
THREELOCKS,RANDOMRANDOM,take,100,10,7,4695921
THREELOCKS,RANDOMRANDOM,take,100,10,8,4403669
THREELOCKS,RANDOMRANDOM,take,100,10,9,4407893
THREELOCKS,SECURERANDOM,put,100,10,0,4019809
THREELOCKS,SECURERANDOM,put,100,10,1,4051136
THREELOCKS,SECURERANDOM,put,100,10,2,3987989
THREELOCKS,SECURERANDOM,put,100,10,3,3960392
THREELOCKS,SECURERANDOM,put,100,10,4,3997145
THREELOCKS,SECURERANDOM,put,100,10,5,3987282
THREELOCKS,SECURERANDOM,put,100,10,6,3989701
THREELOCKS,SECURERANDOM,put,100,10,7,3964387
THREELOCKS,SECURERANDOM,put,100,10,8,4004609
THREELOCKS,SECURERANDOM,put,100,10,9,3983836
THREELOCKS,SECURERANDOM,take,100,10,0,4150368
THREELOCKS,SECURERANDOM,take,100,10,1,3914818
THREELOCKS,SECURERANDOM,take,100,10,2,4006407
THREELOCKS,SECURERANDOM,take,100,10,3,4011741
THREELOCKS,SECURERANDOM,take,100,10,4,3992177
THREELOCKS,SECURERANDOM,take,100,10,5,3905249
THREELOCKS,SECURERANDOM,take,100,10,6,3990695
THREELOCKS,SECURERANDOM,take,100,10,7,3988797
THREELOCKS,SECURERANDOM,take,100,10,8,4011634
THREELOCKS,SECURERANDOM,take,100,10,9,3980110
FOURCOND,RANDOMRANDOM,put,100,10,0,1387500
FOURCOND,RANDOMRANDOM,put,100,10,1,1141095
FOURCOND,RANDOMRANDOM,put,100,10,2,1308863
FOURCOND,RANDOMRANDOM,put,100,10,3,954580
FOURCOND,RANDOMRANDOM,put,100,10,4,1403222
FOURCOND,RANDOMRANDOM,put,100,10,5,1080385
FOURCOND,RANDOMRANDOM,put,100,10,6,1225867
FOURCOND,RANDOMRANDOM,put,100,10,7,1396215
FOURCOND,RANDOMRANDOM,put,100,10,8,1486731
FOURCOND,RANDOMRANDOM,put,100,10,9,1348512
FOURCOND,RANDOMRANDOM,take,100,10,0,1892545
FOURCOND,RANDOMRANDOM,take,100,10,1,1384517
FOURCOND,RANDOMRANDOM,take,100,10,2,889747
FOURCOND,RANDOMRANDOM,take,100,10,3,1392705
FOURCOND,RANDOMRANDOM,take,100,10,4,1366672
FOURCOND,RANDOMRANDOM,take,100,10,5,1011445
FOURCOND,RANDOMRANDOM,take,100,10,6,892114
FOURCOND,RANDOMRANDOM,take,100,10,7,1239162
FOURCOND,RANDOMRANDOM,take,100,10,8,1404415
FOURCOND,RANDOMRANDOM,take,100,10,9,1258629
FOURCOND,SECURERANDOM,put,100,10,0,1191053
FOURCOND,SECURERANDOM,put,100,10,1,1091825
FOURCOND,SECURERANDOM,put,100,10,2,1139590
FOURCOND,SECURERANDOM,put,100,10,3,1083239
FOURCOND,SECURERANDOM,put,100,10,4,1179788
FOURCOND,SECURERANDOM,put,100,10,5,1137808
FOURCOND,SECURERANDOM,put,100,10,6,1082788
FOURCOND,SECURERANDOM,put,100,10,7,1146488
FOURCOND,SECURERANDOM,put,100,10,8,1100732
FOURCOND,SECURERANDOM,put,100,10,9,1141964
FOURCOND,SECURERANDOM,take,100,10,0,1161859
FOURCOND,SECURERANDOM,take,100,10,1,1107339
FOURCOND,SECURERANDOM,take,100,10,2,1119947
FOURCOND,SECURERANDOM,take,100,10,3,1163925
FOURCOND,SECURERANDOM,take,100,10,4,1125968
FOURCOND,SECURERANDOM,take,100,10,5,1107101
FOURCOND,SECURERANDOM,take,100,10,6,1173226
FOURCOND,SECURERANDOM,take,100,10,7,1129621
FOURCOND,SECURERANDOM,take,100,10,8,1117124
FOURCOND,SECURERANDOM,take,100,10,9,1092229
